Advisory Level,Advisory_Date_of_Recommendation,AdvisoryDetail,Advisory_Detail_Description,Bloom_Date_Created,Bloom_Report_ID,Advisory Level,AdvisoryLevelDescription,Contact_Organization,County,Landmark,Observation_Date,Rec_Land_Manager,Regional_Water_Board,Water_Body_Manager,Water_Body_Name,DetailStaticText,Bloom_Longitude_Corrected,Bloom_Latitude
Last verified >90 days ago,5/3/2024,,,5/3/2024 9:13,4459,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Riverside,Temescal Creek Random SMC Site 18169,4/23/2024 0:00,,Region 8 - Santa Ana,,Temescal Creek,Detail,-117.57191,33.89175
Last verified >90 days ago,5/3/2024,,,5/3/2024 9:18,4460,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Riverside,Temescal Wash upstream of Temescal Hills Dr. Random SMC Site 40887,4/24/2024 0:00,,Region 8 - Santa Ana,,Temescal Wash,Detail,-117.46378,33.76317
Last verified >90 days ago,6/24/2024,satellite based visual observation,Satellite imagery detects a suspected cyanobacteria bloom. Once additional information is received from local agencies this report will be updated.,6/4/2024 12:03,4506,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,San Diego Water Board,Riverside,Vail Lake Resort,6/4/2024 0:00,Private entity,Region 9 - San Diego,Local Public Utility District,Vail Lake,Detail,-116.96948,33.49072
Last verified >90 days ago,7/25/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",10/19/2022 16:56,3773,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,State Parks,Sacramento,Mississippi Bar,10/4/2022 0:00,,Region 5 - Central Valley,,Lake Natoma,Detail,-121.20283,38.64315
Last verified >90 days ago,5/3/2024,No cyano bloom w/photos,Visual observations of suspicious algae reported - Water Boards staff determined that no harmful algal bloom produced by cyanobacteria was present. Other types of nuisance algae were present.,4/19/2024 16:44,4447,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Sacramento,Sailor Bar Park Boat Ramp,4/19/2024 0:00,,Region 5 - Central Valley,,Lower American River,Detail,-121.23396,38.63397
Last verified >30 days ago,8/23/2024,Visual monitoring only-present bloom,Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.,8/23/2024 11:34,4676,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,,Sacramento,McKinley Park Pond,8/9/2024 0:00,,Region 5 - Central Valley,,McKinley Park,Detail,-121.46296,38.57584
Last verified >30 days ago,8/23/2024,Visual monitoring only-present bloom,Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.,8/23/2024 11:25,4674,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,,Sacramento,Duck Lake,8/9/2024 0:00,,Region 5 - Central Valley,,William Land Park,Detail,-121.50104,38.54146
Last verified >30 days ago,8/23/2024,Visual monitoring only-present bloom,Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.,8/23/2024 11:28,4675,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,,Sacramento,Mayor Anne Rudin Peace Pond,8/9/2024 0:00,,Region 5 - Central Valley,,William Land Park,Detail,-121.49793,38.54257
Last verified >30 days ago,8/27/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/24/2023 9:14,4124,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,SANTA ANA RWQCB,San Bernardino,"Big Bear Lake, Stanfield cutoff northern end (801BBL673)",5/16/2023 0:00,,Region 8 - Santa Ana,,Big Bear Lake,Detail,-116.88,34.26
Last verified >30 days ago,8/27/2024,Lake-wide advisory; Updates from routine monitoring program-organization,"Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",6/28/2024 8:57,4540,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,SANTA ANA RWQCB,San Bernardino,Boulder Bay (801BBL671),6/19/2024 0:00,,Region 8 - Santa Ana,,Big Bear Lake,Detail,-116.94974,34.23884
Last verified >90 days ago,5/10/2024,,,5/10/2024 8:15,4467,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,San Bernardino,City Creek Above West Fork,4/30/2024 0:00,,Region 8 - Santa Ana,,City Creek,Detail,-117.18194,34.18778
Last verified >30 days ago,8/29/2024,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,8/31/2023 12:23,4365,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,San Bernardino County Parks,San Bernardino,large lake,8/16/2023 0:00,,Region 8 - Santa Ana,,Cucamonga-Guasti Regional Park,Detail,-117.59023,34.07275
Last verified >30 days ago,8/29/2024,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,8/31/2023 12:22,4364,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,San Bernardino County Parks,San Bernardino,small lake,8/16/2023 0:00,,Region 8 - Santa Ana,,Cucamonga-Guasti Regional Park,Detail,-117.59197,34.07316
Last verified >90 days ago,6/27/2024,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,6/27/2024 10:48,4539,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Department Fish and Wildlife,San Bernardino,"above Deep Cr Lake, near Hwy 18 (628DEP001)",6/21/2024 0:00,,Region 6 - Lahontan,,Deep Creek,Detail,-117.07175,34.21949
Last verified >30 days ago,8/29/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",6/25/2021 0:00,2777,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,RWQCB8,San Bernardino,Large Lake,6/17/2021 0:00,Local Park and Recreation Department,Region 8 - Santa Ana,Unknown,Glen Helen Regional Park,Detail,-117.40451,34.20857
Last verified >30 days ago,8/29/2024,Advisory based on visual and toxins; Testing results below posting triggers; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",6/29/2023 11:00,4213,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,San Bernardino County,San Bernardino,"small lake, eastside",6/19/2023 0:00,,Region 8 - Santa Ana,Local Park and Recreation Department,Glen Helen Regional Park,Detail,-117.40385,34.20572
